name,time,Babies_per_woman
World,1800,5.8
World,1801,5.8
World,1802,5.8
World,1803,5.8
World,1804,5.8
World,1805,5.8
World,1806,5.8
World,1807,5.8
World,1808,5.8
World,1809,5.8
World,1810,5.8
World,1811,5.8
World,1812,5.78
World,1813,5.77
World,1814,5.77
World,1815,5.78
World,1816,5.78
World,1817,5.77
World,1818,5.77
World,1819,5.77
World,1820,5.77
World,1821,5.77
World,1822,5.77
World,1823,5.77
World,1824,5.76
World,1825,5.77
World,1826,5.76
World,1827,5.75
World,1828,5.75
World,1829,5.74
World,1830,5.74
World,1831,5.73
World,1832,5.73
World,1833,5.75
World,1834,5.75
World,1835,5.74
World,1836,5.74
World,1837,5.74
World,1838,5.74
World,1839,5.75
World,1840,5.75
World,1841,5.75
World,1842,5.75
World,1843,5.75
World,1844,5.75
World,1845,5.74
World,1846,5.75
World,1847,5.74
World,1848,5.74
World,1849,5.75
World,1850,5.75
World,1851,5.75
World,1852,5.74
World,1853,5.73
World,1854,5.72
World,1855,5.7
World,1856,5.71
World,1857,5.71
World,1858,5.72
World,1859,5.73
World,1860,5.73
World,1861,5.73
World,1862,5.74
World,1863,5.74
World,1864,5.74
World,1865,5.73
World,1866,5.72
World,1867,5.71
World,1868,5.69
World,1869,5.7
World,1870,5.69
World,1871,5.69
World,1872,5.69
World,1873,5.7
World,1874,5.7
World,1875,5.71
World,1876,5.7
World,1877,5.68
World,1878,5.65
World,1879,5.67
World,1880,5.65
World,1881,5.65
World,1882,5.66
World,1883,5.65
World,1884,5.64
World,1885,5.62
World,1886,5.6
World,1887,5.6
World,1888,5.62
World,1889,5.61
World,1890,5.57
World,1891,5.6
World,1892,5.56
World,1893,5.58
World,1894,5.58
World,1895,5.58
World,1896,5.57
World,1897,5.57
World,1898,5.54
World,1899,5.54
World,1900,5.53
World,1901,5.52
World,1902,5.52
World,1903,5.49
World,1904,5.47
World,1905,5.42
World,1906,5.43
World,1907,5.44
World,1908,5.44
World,1909,5.41
World,1910,5.39
World,1911,5.38
World,1912,5.35
World,1913,5.33
World,1914,5.31
World,1915,5.09
World,1916,5.13
World,1917,5.08
World,1918,5.09
World,1919,4.99
World,1920,5.23
World,1921,5.15
World,1922,5.18
World,1923,5.2
World,1924,5.19
World,1925,5.18
World,1926,5.16
World,1927,5.12
World,1928,5.11
World,1929,5.07
World,1930,5.05
World,1931,5
World,1932,4.96
World,1933,4.87
World,1934,4.86
World,1935,4.88
World,1936,4.88
World,1937,4.9
World,1938,4.88
World,1939,4.87
World,1940,4.85
World,1941,4.84
World,1942,4.75
World,1943,4.71
World,1944,4.67
World,1945,4.61
World,1946,4.8
World,1947,4.92
World,1948,4.83
World,1949,4.98
World,1950,4.88
World,1951,4.88
World,1952,5.08
World,1953,5.01
World,1954,5.09
World,1955,5.1
World,1956,5.03
World,1957,5.17
World,1958,5.02
World,1959,4.79
World,1960,4.75
World,1961,4.62
World,1962,5.12
World,1963,5.43
World,1964,5.22
World,1965,5.18
World,1966,5.08
World,1967,4.96
World,1968,5.09
World,1969,4.99
World,1970,4.95
World,1971,4.79
World,1972,4.65
World,1973,4.51
World,1974,4.35
World,1975,4.16
World,1976,4.05
World,1977,3.92
World,1978,3.86
World,1979,3.84
World,1980,3.82
World,1981,3.79
World,1982,3.81
World,1983,3.68
World,1984,3.66
World,1985,3.62
World,1986,3.61
World,1987,3.58
World,1988,3.49
World,1989,3.44
World,1990,3.39
World,1991,3.21
World,1992,3.13
World,1993,3.06
World,1994,3.01
World,1995,2.95
World,1996,2.9
World,1997,2.86
World,1998,2.83
World,1999,2.8
World,2000,2.8
World,2001,2.76
World,2002,2.74
World,2003,2.71
World,2004,2.7
World,2005,2.68
World,2006,2.66
World,2007,2.66
World,2008,2.65
World,2009,2.63
World,2010,2.61
World,2011,2.59
World,2012,2.59
World,2013,2.55
World,2014,2.54
World,2015,2.51
World,2016,2.5
World,2017,2.48
World,2018,2.41
World,2019,2.37
World,2020,2.3
World,2021,2.27
World,2022,2.26
World,2023,2.25
World,2024,2.24
World,2025,2.23
World,2026,2.22
World,2027,2.22
World,2028,2.21
World,2029,2.2
World,2030,2.19
World,2031,2.18
World,2032,2.18
World,2033,2.17
World,2034,2.16
World,2035,2.15
World,2036,2.14
World,2037,2.13
World,2038,2.13
World,2039,2.12
World,2040,2.11
World,2041,2.1
World,2042,2.09
World,2043,2.08
World,2044,2.08
World,2045,2.07
World,2046,2.06
World,2047,2.06
World,2048,2.05
World,2049,2.04
World,2050,2.03
World,2051,2.02
World,2052,2.02
World,2053,2.01
World,2054,2
World,2055,1.99
World,2056,1.99
World,2057,1.98
World,2058,1.98
World,2059,1.97
World,2060,1.96
World,2061,1.96
World,2062,1.95
World,2063,1.95
World,2064,1.94
World,2065,1.93
World,2066,1.93
World,2067,1.92
World,2068,1.92
World,2069,1.91
World,2070,1.91
World,2071,1.9
World,2072,1.9
World,2073,1.89
World,2074,1.89
World,2075,1.89
World,2076,1.88
World,2077,1.87
World,2078,1.87
World,2079,1.87
World,2080,1.86
World,2081,1.86
World,2082,1.86
World,2083,1.86
World,2084,1.85
World,2085,1.85
World,2086,1.84
World,2087,1.84
World,2088,1.84
World,2089,1.84
World,2090,1.83
World,2091,1.83
World,2092,1.83
World,2093,1.82
World,2094,1.82
World,2095,1.82
World,2096,1.81
World,2097,1.81
World,2098,1.81
World,2099,1.81
World,2100,1.8